step,transactionID,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud
14110,f69daf4d-5607-4e22-ba35-7337ce0b6bda,CASH_OUT,1897.87,1919.73,21.86,2254.82,4152.69,0
3068,25f417f9-5d09-496a-a5ca-aed6c3862bb6,DEBIT,660.69,775.79,115.1,2725.67,3386.36,0
3411,b2014ae9-6078-4a49-a4a8-c9dd18bec700,PAYMENT,1347.85,1536.0,188.15,4290.46,5638.31,0
4861,796647c6-93ae-4134-81c4-f2ac35fe019d,CASH_OUT,1117.03,2182.85,1065.81,783.45,1271.13,1
5666,9d394d5e-67a0-4751-af8e-a87cb28ba633,CASH_OUT,1918.96,1921.43,2.48,2714.92,4633.87,0
4673,107c30fe-20d7-4a59-b0a1-38c6c896243c,CASH_OUT,1874.11,1956.0,81.89,2114.99,3989.11,0
8977,1fe346a0-d034-4a2f-94bc-86613e5d20e5,DEBIT,85.38,88.53,3.16,2140.52,2225.9,0
2750,a5cf484c-bb5e-4526-8e22-7d59e507e1be,CASH_OUT,1225.73,1238.34,12.61,816.56,2042.29,0
523,baba8af3-c06e-420d-9f19-5e96890da522,TRANSFER,208.83,314.92,106.09,5187.4,5396.23,0
12537,12f3644c-a050-4bc1-9b6c-582484101698,CASH_OUT,28.75,40.28,11.54,2743.56,2772.31,0
1044,c2717043-b493-47e1-a13e-f576b7ba416d,CASH_OUT,1333.19,1489.84,156.65,597.83,1931.02,0
3968,8632ad20-ac15-4400-987c-dcd2cbf60282,PAYMENT,620.44,710.36,89.92,4228.55,4848.99,0
15133,b4bf0a5b-9186-437c-825a-cb5723d43a7f,DEBIT,1675.71,1780.14,104.43,2769.7,4445.41,0
14774,f93a8a69-d4f5-4e69-9762-c1195ea161ed,CASH_IN,1307.64,1472.83,165.19,1319.81,2627.45,0
13910,ad6b4eb1-ad33-4399-bb1e-708a6e8077a4,PAYMENT,1375.92,1559.19,183.27,8801.71,10177.63,0
9303,f678c70d-72d8-4f4c-96ee-0df7ce65fc06,PAYMENT,447.98,508.02,60.04,2575.1,3023.07,0
5289,25a76ebb-b558-4c5d-8606-377ada5bcab2,CASH_OUT,279.94,358.49,78.55,1646.4,1926.34,0
8166,6d434cce-9d6d-4edc-b467-a559f23e923e,TRANSFER,3188.09,3189.62,1.52,4106.28,7294.37,0
2072,2019e65a-bdbe-428e-af1f-3d06d4b608ba,CASH_OUT,1870.09,2106.61,236.52,71.96,1942.05,0
10981,571506a2-8258-4012-b701-498599e42972,CASH_OUT,1629.87,1634.95,5.08,9751.61,11381.48,0
15646,eb0110cc-942d-467e-b473-a6e7d8ce0a93,CASH_OUT,448.4,567.4,119.0,658.26,1106.66,0
14167,1fbf916a-80cc-49d4-aa04-3c183377abcb,PAYMENT,332.73,362.75,30.03,678.32,1011.05,0
205,c19d60e6-86d8-45f0-9b75-70989fce652f,CASH_OUT,2018.12,2143.86,125.73,2065.04,4083.16,0
14782,affc3b93-cb1e-4dc8-9a0b-578dda2af36c,TRANSFER,760.12,849.56,89.44,1544.38,2304.5,0
17036,93e5fdbc-33f4-4766-9dbb-b9a07f0c39b2,TRANSFER,1481.04,1557.36,76.33,1399.44,2880.48,0
367,b267f190-666b-425d-b1c1-4f5de01b3178,PAYMENT,1157.76,1170.27,12.5,641.75,1799.52,0
279,d0d0cc48-7efa-4807-bb89-7e8986faa475,DEBIT,236.1,303.29,67.18,1187.2,1423.3,0
14266,8c6d0b16-0921-4e93-acbc-a3d1f66ec3db,DEBIT,38.44,78.15,39.71,596.36,634.8,0
6878,36ab26b7-e9ea-43af-aab3-b07b8f4d2707,CASH_OUT,854.0,893.28,39.28,8495.97,9349.97,0
1605,3041a4ed-56d4-4654-9401-07473e54990a,TRANSFER,1208.93,1303.59,94.66,1369.06,2577.99,0
17063,70b68841-f296-48ec-bae0-d8de74428374,TRANSFER,435.65,494.16,58.52,1321.65,1757.3,0
17020,f000b0d1-4d23-4a4f-967f-be81bd7f39c4,CASH_OUT,1213.05,1309.3,96.25,1125.14,2338.19,0
11084,5d28a94d-60ec-4da3-85b8-12caf95ba553,PAYMENT,241.02,267.84,26.81,642.77,883.79,0
19619,949d42c4-3370-434d-8456-24410084f8a4,DEBIT,2017.51,2100.19,82.67,2165.03,4182.54,0
19368,c3b345a0-af0f-4f99-ae3c-acf9c98107f6,CASH_OUT,1202.69,1280.55,77.86,411.93,1614.62,0
15817,51e03583-7273-4372-94a8-d1f34c0a0794,TRANSFER,1803.06,2035.5,232.43,7302.23,9105.29,0
8183,55e62459-453f-4293-97a5-abe9e7e5ce77,TRANSFER,271.47,312.03,40.56,1493.45,1764.92,0
11344,82d7bf70-2c08-4bb6-aab1-d028a5a39e83,CASH_OUT,404.06,448.73,44.67,3595.74,3999.8,0
8761,88de6dba-0ac3-4637-8d4e-13ec08e2a907,TRANSFER,1240.58,1358.92,118.34,8566.81,9807.39,0
