step,transactionID,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud
4127,39b59455-2038-4f59-9d52-2f5dd9c06d1b,DEBIT,560.71,712.59,151.88,164.31,725.01,0
13121,4a8da463-5215-45f9-a819-fd82883d450c,CASH_OUT,4445.31,4470.19,24.88,144.37,4589.68,0
14282,5233d4ec-de37-4dce-bcb2-de239e881347,PAYMENT,1044.23,2157.61,1113.38,463.4,1167.59,1
13158,b05f4c91-cdce-405a-816e-3cef78f927d5,TRANSFER,979.7,994.81,15.11,284.44,1264.15,0
3262,a13ca303-25b7-4caf-9180-455272e67938,TRANSFER,1468.02,1623.56,155.54,3699.51,5167.53,0
14985,33620c0c-2716-42ed-904c-bc8f282ca25c,CASH_OUT,37.01,101.69,64.68,1285.33,1322.34,0
15618,3a28f5f0-6871-48ed-b6c7-820c53288ecb,TRANSFER,43.63,225.16,181.53,145.46,189.1,0
4034,60363a92-862d-4df0-a317-6d5bc1a5b1ca,TRANSFER,780.93,948.82,167.9,2308.46,3089.39,0
9519,0b2709c0-fa17-4e77-a93b-6ac4dd4772b0,TRANSFER,1466.47,1569.39,102.92,1304.93,2771.4,0
10127,38a0b9f9-e4f6-4d2d-9cd3-2c3d788912b7,TRANSFER,193.84,278.73,84.89,4759.62,4953.46,0
13362,e02a4813-e80b-4fd1-a941-0f706f0d5f59,CASH_OUT,2683.38,2779.49,96.11,2212.39,4895.77,0
7131,3bc43c3a-5ee9-4a53-a33d-224cc1225e16,DEBIT,82.89,118.59,35.7,4806.09,4888.98,0
12936,c1a1cb01-c116-4716-a89a-cf4f23199fe0,CASH_OUT,431.54,532.96,101.42,4226.8,4658.34,0
1427,670e48ca-a230-41f3-aae1-6ef8fa4a4d59,CASH_OUT,133.17,140.9,7.73,686.01,819.18,0
9139,0733c92c-5293-4a57-88cf-b63827e888b3,PAYMENT,1131.02,1208.82,77.8,85.59,1216.61,0
16121,413388e3-ad44-44ac-8293-004bbd297a48,TRANSFER,412.02,427.89,15.87,612.15,1024.17,0
11280,f7b5b70d-8679-4050-bff5-d165d9af1d9f,TRANSFER,796.15,833.51,37.37,428.43,1224.58,0
3524,32bb53d1-bc86-4b3d-babd-3d9e1111a187,TRANSFER,544.91,717.7,172.79,1888.5,2433.41,0
11850,b30ce618-a5cb-4edf-8da1-cfeba35b5d77,TRANSFER,1503.1,1617.92,114.82,3094.13,4597.23,0
8677,a251d078-2d41-4971-8276-ad0c9947e030,TRANSFER,1000.1,1144.51,144.41,768.28,1768.38,0
12858,082a43be-e9d3-4922-a634-a49512121bed,TRANSFER,1000.24,1119.56,119.32,1261.59,2261.82,0
19272,75b2eea6-e166-4466-bf14-3e1295f8888f,TRANSFER,106.87,131.43,24.56,1946.31,2053.18,0
5033,4e80f7e4-482b-408f-8167-600a3dacea28,TRANSFER,804.28,857.93,53.64,2328.68,3132.96,0
8286,0ad95cae-51b2-4a38-bc9a-8b25c02b1a0f,CASH_OUT,85.89,204.73,118.84,870.32,956.2,0
18357,25b04be2-45be-49fe-a161-82da2f18e011,PAYMENT,528.24,583.16,54.93,3378.09,3906.32,0
9392,48fd5f17-66ab-4ea1-9339-38574066e6d1,CASH_IN,1109.49,1124.96,15.47,1693.76,2803.24,0
1319,f2def9fe-2dc7-488d-b6bb-dc73bf45e4ce,CASH_OUT,452.03,516.13,64.1,20.86,472.89,0
17243,3b52ad27-4412-429c-9b6e-e394b23b9783,PAYMENT,2516.74,2547.85,31.11,6045.76,8562.5,0
5611,41228b2c-ef99-4948-8b91-528b14175dc0,CASH_OUT,8.1,82.77,74.66,2899.84,2907.94,0
242,5bf39222-36e5-42d0-83cc-58b4ecdba0fe,CASH_OUT,825.27,1015.11,189.84,2342.27,3167.54,0
14593,eecc681a-347a-4179-8b40-8e883b456f2f,TRANSFER,1548.37,1605.15,56.78,2259.86,3808.23,0
15031,524541c3-604f-4a1b-bd0f-19cf90aa9d74,CASH_OUT,275.36,317.87,42.52,83.3,358.66,0
7825,689dafe2-6f19-409f-ac1d-170626bf46db,TRANSFER,1430.3,1505.5,75.2,6829.12,8259.42,0
17745,e4d244b5-8545-4eaf-94ac-146995508e9f,TRANSFER,3786.29,3832.13,45.84,777.62,4563.91,0
4172,7085361e-ade5-40d6-a927-12bf760de175,TRANSFER,390.1,608.58,218.48,954.45,1344.56,0
12254,451bb96a-2172-4502-945f-f3ab926aba80,CASH_OUT,1248.71,1303.16,54.46,1165.19,2413.9,0
8256,05796b0f-b5e1-41bd-a9bd-b5ad68a38a29,PAYMENT,1165.79,1250.92,85.13,2490.96,3656.75,0
15865,da131f92-0872-474a-bd43-ed7735ca0c49,DEBIT,453.08,455.42,2.34,5568.78,6021.85,0
1920,f50a5dd2-6e49-4dbc-a011-a61aae381ca6,CASH_IN,70.39,71.0,0.6,202.68,273.08,0
8587,d8a713b0-e50e-4898-9bab-bc8046fbba1d,TRANSFER,209.86,271.66,61.8,2394.81,2604.67,0
3700,7a99a132-8c62-4d33-811b-a3e2042f7c76,PAYMENT,872.46,2359.47,1487.0,5277.37,5715.21,1
