step,transactionID,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud
5925,0336cda9-f3dc-4dfe-8c37-e2430c91bf02,TRANSFER,1284.46,1499.07,214.61,6884.89,8169.35,0
2291,272ec298-146b-44e7-83b8-a9aa047f09cc,CASH_OUT,3864.7,3960.95,96.25,2878.31,6743.01,0
5510,dfbd5187-e320-4cb0-8af1-d912ff002bbd,TRANSFER,944.56,1396.31,451.75,586.51,1353.02,1
9075,bd99d5b0-09c2-4316-8afa-922d0793bb93,CASH_OUT,1440.98,1583.22,142.24,1713.28,3154.25,0
12744,13b00e6b-d652-4551-a081-592d711d057e,CASH_IN,243.98,268.05,24.07,1477.83,1721.8,0
9787,27c9a468-8e8b-4d35-9b97-2ccc3f45a613,CASH_IN,2011.09,2089.23,78.14,359.07,2370.17,0
13911,cc280a74-d0b1-4adc-bce1-74384dc53a4c,PAYMENT,2176.27,2304.52,128.25,5819.26,7995.53,0
1994,c9fcd1e6-d15d-484b-8723-357235d93470,TRANSFER,9536.1,9642.8,106.7,1695.17,11231.28,0
11748,e685d25c-ac8d-4a7d-857c-ca3a6a5b2221,CASH_OUT,1592.7,1821.3,228.6,3957.04,5549.74,0
464,55dfbc07-94dd-4f44-9e09-401ffc48c623,TRANSFER,440.5,543.32,102.83,1155.74,1596.24,0
16516,7d6eb963-624c-41df-9c6e-2d38b3cfe0b9,PAYMENT,199.13,331.21,132.08,164.61,363.73,0
8917,0457ef14-c06c-4e55-8f1a-c35047504e81,CASH_OUT,289.88,365.01,75.12,1416.72,1706.6,0
2695,def2da69-dcbf-4093-b826-cd619b72d141,CASH_OUT,402.86,572.6,169.74,240.06,642.92,0
2864,3afd8e3b-484b-4f50-9e0b-c355cfae3843,TRANSFER,934.13,1874.23,940.1,2574.85,3156.04,1
16116,a8fd47be-7f6c-4b66-a76e-54168cfd6d22,TRANSFER,263.73,272.01,8.28,2527.73,2791.46,0
1079,c622ef98-b292-41fb-92d8-01a3956175f6,CASH_OUT,2496.15,2573.36,77.21,924.13,3420.28,0
2286,19adaa69-0cc7-41f3-bf92-49600ac5d1fc,CASH_OUT,2588.85,2590.55,1.7,4992.51,7581.35,0
4508,64e8f5ab-b05e-451e-b734-09c338360cad,TRANSFER,365.45,545.98,180.53,1362.61,1728.07,0
11192,58759e1b-88f5-4d73-9824-44d6ed729ebf,TRANSFER,1643.0,1679.49,36.49,4048.99,5691.99,0
4947,64502993-6c39-4543-bf7e-cf35d72e155b,DEBIT,1917.52,2041.13,123.61,81.67,1999.19,0
3844,ee13b65d-7f6d-40b3-a81e-e7ad044db2b8,CASH_OUT,1551.2,1656.96,105.76,4762.68,6313.88,0
5963,3a28154f-7214-4543-904f-b4f8114bc1a7,CASH_OUT,564.67,629.75,65.08,1384.12,1948.79,0
7628,db0d5fc1-7905-47e7-aa47-e8e32f3c199c,CASH_OUT,1573.63,1681.5,107.87,1775.36,3349.0,0
