step,transactionID,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud
17068,fcf9d43a-7498-4a93-9842-ba1f0759f5da,TRANSFER,2833.72,2871.87,38.14,214.63,3048.35,0
17652,82e30ef9-01b8-4126-8093-63db571ad352,TRANSFER,1089.82,1131.24,41.42,1971.21,3061.03,0
7808,295a6c4d-f28a-40c1-a47c-8b895378655e,TRANSFER,88.48,229.0,140.52,3762.47,3850.95,0
16235,05060968-db40-43c2-aa3c-3fbc71aded20,TRANSFER,1183.18,1237.86,54.67,4285.34,5468.52,0
13918,a9415e73-1f66-4d50-97be-d5cb9a92d3b4,PAYMENT,868.12,887.12,19.0,843.96,1712.08,0
12982,f2d8560b-b970-40d4-800f-69ac57434b15,CASH_OUT,1995.96,2087.7,91.74,127.78,2123.74,0
6563,a39d8d46-cd1a-47ba-bc05-afe362651ffe,TRANSFER,2617.48,2657.99,40.51,362.17,2979.65,0
11955,8f6b7717-eeb2-4186-9bb5-4b18f7bcaeae,PAYMENT,424.72,493.29,68.57,2107.12,2531.85,0
14862,bbf22467-1ba8-4ee8-819c-34ab61004f19,CASH_OUT,480.15,571.38,91.23,897.9,1378.05,0
10803,8738c8e7-151d-4f13-9204-9fd6890698d6,TRANSFER,209.68,346.6,136.92,668.04,877.71,0
3699,dcdc80a3-708f-4889-aa29-10f9b5563667,CASH_OUT,1424.14,1563.1,138.96,1021.16,2445.29,0
6944,ea19ce09-ed30-4b0d-80f9-e7f7c38f89e2,CASH_OUT,107.03,249.9,142.87,2482.31,2589.34,0
1688,8d1ee2ae-550c-4db9-b34c-29c46be1f98e,TRANSFER,1391.52,1690.69,299.18,2494.89,3886.41,0
17290,e0dedcbd-af9f-41ce-b0c9-3acfaae578ad,CASH_IN,1483.83,1617.37,133.54,640.78,2124.6,0
6224,5ab84d6d-01b6-4ffb-9c1d-f0bf9e2bd8a0,CASH_OUT,2502.74,2647.88,145.14,835.26,3337.99,0
1994,a226f009-7624-4318-833c-a94f267448dc,CASH_OUT,0.38,44.08,43.7,1001.29,1001.67,0
14423,f618a913-7ff7-4576-bf7e-620da481cb7a,CASH_OUT,2780.58,2794.47,13.88,2471.51,5252.1,0
11923,ef3b2d73-e770-4041-a485-98a19c696042,DEBIT,2220.78,2377.15,156.38,690.21,2910.99,0
13476,09b58f79-65b5-4deb-b043-1dcd4d0d3717,TRANSFER,407.85,490.6,82.76,630.71,1038.56,0
17731,8fe05cca-c12c-46e6-8502-dad5afc5b1de,TRANSFER,91.96,111.37,19.41,734.47,826.43,0
6733,1b3b5363-f38c-4cd6-989a-b977c4850770,CASH_OUT,343.5,422.87,79.37,2049.64,2393.13,0
3828,38dc994b-bea6-43c7-b9ae-ee27effe8c9b,DEBIT,813.45,874.2,60.75,3286.94,4100.39,0
17215,e5e1b683-c9ae-431e-8282-52b2ef310b51,TRANSFER,235.22,274.2,38.99,4300.57,4535.79,0
18898,6d0c22a7-011b-4b03-977b-a65a64bc69a4,DEBIT,1236.23,1401.4,165.17,834.83,2071.05,0
18418,4d5175cb-2573-4b8d-b00a-34afc2255820,TRANSFER,314.66,409.6,94.93,274.41,589.07,0
15101,fda2473c-b568-4434-b2b7-ded6ddece02f,TRANSFER,1084.38,1112.69,28.31,1923.07,3007.45,0
12901,d712bbff-0001-4f7a-8a4c-2454ea68999a,CASH_IN,166.62,340.25,173.63,3997.52,4164.14,0
16938,17917ee9-e53e-4cbc-97b0-abc202c05d1f,TRANSFER,744.06,812.94,68.87,3602.23,4346.3,0
1100,225b8f31-4c01-46bc-b918-786e10c226d4,CASH_OUT,752.52,962.94,210.41,4305.74,5058.27,0
15479,52a0fc5f-1543-4ea2-a380-f7a86fc99e42,TRANSFER,447.79,502.34,54.55,5702.9,6150.69,0
10139,8a58d0c0-5482-4077-8193-00cc31794c53,CASH_OUT,20.7,234.45,213.75,139.01,159.71,0
1752,2982d8bc-1b20-4a4e-9de7-4306bd3c9406,CASH_OUT,678.0,725.45,47.45,5636.34,6314.34,0
13348,33cd9517-aec5-44b7-b4d0-a5aeaf338b40,CASH_OUT,27.66,270.11,242.46,815.76,843.42,0
4913,9b86b2f6-ec90-4c86-83e8-8f415f7fa634,PAYMENT,63.75,185.85,122.1,1022.17,1085.92,0
13619,8a1b4253-5889-4e10-aa01-3b7295dbd5d0,CASH_OUT,1995.77,2073.15,77.37,5090.88,7086.65,0
19713,c65a063c-f92f-4cb8-bab2-b5c5b787aab8,TRANSFER,3209.75,3316.48,106.73,2042.5,5252.26,0
14883,03a59970-66e3-4479-91ab-d3bb0aa75486,CASH_OUT,54.53,136.09,81.57,3131.84,3186.37,0
6868,5c86b7c2-2411-4711-b5df-4bc12f53d7e3,TRANSFER,130.45,218.34,87.88,302.61,433.06,0
16950,47b0056a-bad6-43f3-97c1-3894e2b1a77a,CASH_IN,25.06,34.96,9.9,2592.26,2617.32,0
9769,e536d9c2-ca4f-4312-9eaa-2bd52192601d,DEBIT,1628.65,1763.3,134.65,855.33,2483.98,0
281,cbe14587-10f6-40b3-8618-346864efa51c,TRANSFER,988.56,1095.31,106.75,502.63,1491.19,0
3376,1aa68985-d8b6-4ef2-978e-61e93fb303b1,CASH_OUT,243.06,316.75,73.69,958.26,1201.31,0
14195,57ccc731-8bc4-49ac-925c-16dc00b81213,DEBIT,496.35,570.58,74.24,5410.6,5906.94,0
17368,7f897d17-b6bd-4473-9e51-eef5bdab75a0,CASH_OUT,231.78,307.41,75.62,2830.17,3061.95,0
14585,1b6102af-cdac-4374-8134-4e06c47c3989,TRANSFER,139.98,182.68,42.7,777.22,917.2,0
1329,4479e32e-10eb-4037-a8a0-1c5041258c62,TRANSFER,1607.11,1636.32,29.21,1072.78,2679.89,0
16735,61f27175-d35a-4a95-8899-04494c37829e,TRANSFER,513.76,591.03,77.27,3226.66,3740.41,0
6481,2857540c-a60a-47a2-8523-88e82602ae3c,CASH_OUT,1480.65,1531.39,50.74,1234.93,2715.58,0
1912,671aca8a-061c-4899-adcb-a6424021bc00,CASH_OUT,1126.01,1202.91,76.9,1509.53,2635.54,0
7797,6b4838c9-d3a7-4d45-8987-5ed46a1b85c5,CASH_OUT,1386.24,1470.35,84.11,1701.54,3087.78,0
14390,d72fabc5-596b-47c4-97ef-8c25ca8613d4,TRANSFER,2404.09,2490.92,86.84,1247.9,3651.99,0
14990,abd16ace-e5ee-449e-a3f4-126769141481,TRANSFER,79.21,86.86,7.65,2600.82,2680.03,0
17088,7fbdfe0e-2775-4dcd-ba6c-9d1878e085c9,CASH_IN,584.18,672.56,88.38,2036.22,2620.4,0
7883,a93be970-e0f5-4bec-a23c-d73fec9ba8e6,CASH_OUT,1056.54,1108.56,52.01,5187.74,6244.28,0
9866,2eb1183d-711d-48be-9731-97052d69108b,TRANSFER,3051.28,3073.46,22.18,4266.71,7317.99,0
4852,9208bc41-1ab7-4927-8383-ff65623443e5,CASH_OUT,24.97,95.96,71.0,1515.36,1540.33,0
4261,d8481111-1e52-469d-853b-133446848a47,TRANSFER,613.26,778.89,165.63,1062.19,1675.45,0
6170,e52369c4-2c5d-4c7c-8962-5451a5186dbc,CASH_OUT,449.66,527.47,77.82,444.19,893.85,0
8768,ae85eb11-2cff-41a7-8d37-27ac63911046,TRANSFER,612.08,703.21,91.13,412.24,1024.31,0
19086,da8e3ee6-1cf3-4ad3-9642-c6618fc157ec,CASH_OUT,762.37,825.45,63.08,1588.32,2350.7,0
19132,e9eb1500-99b8-48ad-9b54-713188a16b7a,PAYMENT,305.95,324.17,18.22,181.22,487.17,0
1607,b8d83a62-478e-4667-ba64-6a62de0b711c,CASH_IN,22.53,58.01,35.49,2197.29,2219.81,0
13318,ac9acf7b-3a59-4b37-bf7e-83ebc55abc6d,TRANSFER,326.86,623.55,296.69,3521.35,3848.21,0
16508,920a4273-96b1-4c5b-8acd-4a2c7ec71701,PAYMENT,1524.45,1563.46,39.01,1948.77,3473.23,0
539,49ac451c-59a9-439b-a807-06cccff1b2d8,TRANSFER,89.28,116.73,27.45,4010.62,4099.9,0
8264,b646b1e2-297b-4fd5-a9c7-11f398e4521c,TRANSFER,795.74,815.62,19.87,1058.83,1854.57,0
8781,891eb150-5094-4658-92b4-c610abb6180f,CASH_OUT,67.06,129.97,62.9,1815.77,1882.83,0
9470,5345425b-c0ea-4189-9bfd-94af19787a60,CASH_OUT,62.92,101.13,38.22,4137.92,4200.84,0
14085,83212237-2c76-4a62-b474-72cf9c4025c5,TRANSFER,1331.65,1364.2,32.55,1087.6,2419.25,0
15772,1bf50df2-7c9d-4e7b-af75-53d55311e3db,TRANSFER,569.15,583.98,14.83,397.92,967.07,0
6184,36dc8459-f872-4ccf-8e87-c0aae10601fd,CASH_OUT,2999.46,3050.89,51.43,2377.07,5376.54,0
18216,64f1c48c-540d-419f-b2c5-ba8c88597ef7,TRANSFER,47.13,184.44,137.31,658.13,705.25,0
17130,c5d41e5f-b821-486b-8301-f038c2151fc8,TRANSFER,3406.12,3423.56,17.44,2373.63,5779.75,0
2448,5b42cb13-0d4d-442d-82cf-f0e34ff4477c,TRANSFER,710.52,766.5,55.99,1273.39,1983.9,0
17936,9476097b-e673-4753-b45e-b1ccd380d30c,CASH_OUT,1455.36,1505.11,49.75,1352.48,2807.84,0
5973,2b631f73-d6ce-4cc6-8663-fb761b3feb05,CASH_OUT,1168.63,1334.11,165.48,467.67,1636.3,0
2425,6f21d5fb-d142-427b-ab04-c426d2b568d4,TRANSFER,929.69,1039.4,109.71,1892.86,2822.55,0
5339,65326c85-dca1-40f1-8d93-f80e05b87c4c,TRANSFER,1855.84,1942.79,86.95,1132.18,2988.02,0
2029,4e7ab361-2653-4ca1-80c5-32a9cf82ab6d,DEBIT,1118.07,1141.6,23.52,4787.4,5905.47,0
12258,bdda1c85-0138-48a8-8697-208a74e2c991,TRANSFER,33.46,45.78,12.31,1977.21,2010.67,0
19522,dc1f9d30-2787-434f-aa31-223d93ce15a2,TRANSFER,1131.19,2249.66,1118.47,222.41,584.77,1
12893,e4f70959-b7a3-449d-88ef-018046c1f977,DEBIT,22.34,27.42,5.08,1348.56,1370.9,0
5666,545c742d-2108-48e5-820a-5a4ddab6b125,TRANSFER,428.98,643.26,214.28,1240.21,1669.19,0
11056,f942f543-7621-40e4-bedc-6cb4bfd0236b,CASH_OUT,2769.65,2877.13,107.47,1846.13,4615.79,0
7149,96a18b22-e5bb-4784-8fe8-0007737f0393,TRANSFER,482.17,643.16,160.98,412.33,894.51,0
5836,e0e68231-18a8-4588-9374-acb7e8e60fe7,CASH_OUT,2150.5,2231.63,81.13,1457.81,3608.31,0
9264,56afb664-8f86-4dfe-a792-49dfedffda48,CASH_IN,401.98,488.22,86.25,75.0,476.98,0
10175,d54bd3aa-8f19-4ad8-9de7-45eaff064656,TRANSFER,562.52,607.55,45.03,3295.77,3858.29,0
1168,e6df933d-0e12-407a-a6fc-ebe96842d24e,PAYMENT,42.38,90.17,47.78,917.73,960.11,0
10201,8ad280c2-d825-46be-bd96-7b2a7a8e9d8a,CASH_OUT,1959.68,2026.91,67.22,4448.63,6408.31,0
12346,210e18b5-b9f7-4fd8-876f-e83296841e59,TRANSFER,3966.48,4049.59,83.11,218.62,4185.1,0
16107,f5c3eba0-9d0a-4303-979c-e143eed0d0fd,CASH_OUT,24.82,163.46,138.64,2095.36,2120.18,0
10631,2001bb9f-ae3e-49e9-9a71-dad5d0d66ffa,PAYMENT,307.74,473.0,165.26,6370.86,6678.59,0
6570,97821fef-ea5e-483a-ae6d-1325e80cfcbc,CASH_OUT,263.37,268.05,4.68,4079.61,4342.98,0
10033,b7933397-1d38-4179-b2d8-4e669d458a7a,TRANSFER,1040.81,1076.74,35.93,1024.76,2065.57,0
4623,be395396-191c-4b24-9516-2433eb53e6ba,CASH_OUT,378.72,462.84,84.11,903.19,1281.91,0
1649,993ec7a5-2109-4054-b457-529da65883a0,TRANSFER,204.92,325.54,120.62,6346.44,6551.36,0
14646,86f2db86-7162-4c4a-b09a-a591f46be90b,CASH_OUT,442.72,498.52,55.8,2181.06,2623.78,0
2071,bde8e2e5-5c67-4cfe-a206-bf035b7e22c9,CASH_OUT,74.94,170.27,95.33,36.58,111.51,0
16434,ba3c446b-8f55-44cf-9823-434e20a7f1db,CASH_IN,698.12,883.71,185.6,3782.22,4480.34,0
11145,2c50a09a-cbfa-4478-988a-8a119a4761dc,CASH_OUT,291.18,514.07,222.89,756.5,1047.69,0
10881,eb8e5cef-d769-4d9d-9010-4179589f4c00,CASH_OUT,1622.78,1638.85,16.07,912.99,2535.77,0
2552,29ef23b5-0295-48fa-ad38-4c5e831a29b9,CASH_OUT,335.15,480.03,144.87,936.3,1271.45,0
10133,d2418039-d2e3-439e-bed9-8c299b6ee688,CASH_OUT,451.38,639.76,188.38,577.28,1028.65,0
3538,d1873072-27a1-4a9b-9047-7e719558c461,CASH_OUT,76.79,203.53,126.75,645.74,722.52,0
14828,d28e6e77-3aca-4b26-b82b-f59c5cc4bbe8,CASH_IN,1912.25,1928.97,16.72,4311.59,6223.84,0
14927,28127cfa-7b12-482d-936b-93d850c50885,CASH_IN,31.0,53.42,22.42,3403.59,3434.59,0
8000,3ad72992-4a02-4d7f-89fa-bbc921971262,TRANSFER,1559.48,1692.97,133.49,1096.73,2656.21,0
9527,3553b032-2bf7-4117-a4d7-aa11126a5fdb,CASH_OUT,504.35,543.96,39.62,3119.89,3624.23,0
3971,66f7e783-1954-4500-8ae4-b9cc2743ddcc,DEBIT,997.3,1117.02,119.72,1055.61,2052.91,0
18073,4274c525-a48c-447a-b29e-98be3191d32a,CASH_OUT,901.52,1183.39,281.87,2097.64,2999.15,0
12749,63ef54d8-26c3-47e7-a3a2-72dbaad2eb23,CASH_IN,553.62,768.55,214.92,2610.68,3164.3,0
189,095ec13b-188c-480a-8fc0-a423ce2385ca,PAYMENT,270.27,316.73,46.46,1573.67,1843.93,0
11746,ba15e7cd-4756-47df-b690-1b47569f6d1d,CASH_IN,477.45,486.17,8.73,3565.55,4043.0,0
2179,dd9341a0-964c-4668-b7ea-3a1b8c600432,CASH_OUT,474.49,542.77,68.29,1307.64,1782.12,0
17204,43990c4a-9e29-42de-96a1-683b4912f224,TRANSFER,600.95,930.58,329.63,2099.12,2700.07,0
7628,400ea869-fccb-4c59-a5da-493443bc791a,TRANSFER,2908.03,3182.71,274.68,620.03,3528.06,0
9186,b47be745-f7d5-458d-a1d6-655a7659ae4a,CASH_OUT,531.18,792.06,260.88,2910.29,3441.47,0
1985,4cd3a58a-ebc8-4b73-ace2-54db6d5a6b4f,DEBIT,682.62,761.81,79.19,5450.0,6132.62,0
1461,b06a9206-d3d8-41e8-a4dd-b9a523809268,CASH_OUT,412.39,435.01,22.62,1659.03,2071.42,0
16441,009bcbc5-358b-4d43-b693-9941dc94e856,TRANSFER,104.02,241.08,137.06,3166.76,3270.78,0
19592,4c2b627b-3f21-4fdb-9bed-d3d2851b69d3,PAYMENT,401.88,417.69,15.81,2825.91,3227.79,0
6458,b8a83f35-9ca9-4a86-a6db-0c0108e896c5,CASH_OUT,2405.8,2498.53,92.73,1355.77,3761.57,0
13663,6de8a39a-0727-44ee-9da5-3df94e5be2fa,CASH_OUT,367.44,369.3,1.86,1775.6,2143.03,0
14409,27a4e9e9-0ea9-45ae-b685-4b7ad4f76dbf,TRANSFER,2397.5,2458.69,61.19,996.32,3393.82,0
15671,b6bff446-734d-4e40-8085-307bbd1e1962,CASH_OUT,1574.38,1594.62,20.23,4047.67,5622.06,0
6214,7580341c-4fe8-49ff-9737-b33cd62f74ec,TRANSFER,1125.58,1410.68,285.11,421.89,1547.47,0
11561,360ad22c-6a64-4f82-bac9-ccb80ac90116,CASH_OUT,1006.3,1011.15,4.85,1273.49,2279.79,0
15112,e8f09714-2e27-4745-9094-04bb502efebc,CASH_OUT,782.6,881.73,99.14,1709.94,2492.54,0
18322,29139556-6849-4efe-9207-a6d80180d990,TRANSFER,713.47,717.24,3.77,191.9,905.37,0
900,000e140a-2730-490d-ab42-9c8dacb6a616,PAYMENT,65.83,288.57,222.74,1226.12,1291.95,0
13731,b88afe79-a7a7-42ec-b71d-eff05d9a96a4,CASH_OUT,942.36,1079.59,137.23,4474.33,5416.69,0
1751,c1dfa7de-3e66-444d-b730-875f8d96b499,TRANSFER,97.4,120.67,23.27,3782.15,3879.55,0
7439,7af0c53a-174d-4b1c-8de3-394a08a208ed,CASH_OUT,95.67,122.06,26.4,2406.39,2502.06,0
12251,c085fe01-3013-4a06-918d-e5642ac8caa3,PAYMENT,219.96,311.7,91.74,413.81,633.77,0
18083,8c71b4d1-54d6-4228-8886-6961501977c9,TRANSFER,1189.16,1217.77,28.61,2205.28,3394.43,0
17890,a806d45a-ce96-4666-bbb6-a13d8145dba1,PAYMENT,618.92,662.85,43.93,1121.47,1740.39,0
15883,1d214f33-f0b6-48c0-b3ac-d741830199cf,CASH_IN,324.94,399.76,74.82,417.74,742.68,0
3415,61730157-49b7-4ad8-af59-806f1051d377,CASH_OUT,901.24,948.71,47.47,4679.76,5581.0,0
15016,d4a3e9f9-67e5-4d49-83b0-b1732bdbb0fb,TRANSFER,1376.73,1553.54,176.81,1851.73,3228.46,0
4538,e6303245-f79d-45d8-a477-bc1800a0fcd7,TRANSFER,87.36,135.55,48.19,6266.95,6354.31,0
3558,f0e9c6c7-1382-4f3c-bf74-9ebcf73b9528,CASH_OUT,1664.5,1769.67,105.17,997.58,2662.08,0
1265,07c99e80-4ded-427f-b46b-3993cfb0058d,CASH_OUT,603.39,687.43,84.04,772.39,1375.78,0
4670,12d9fd85-4759-4d20-8bdb-0e19c36a6611,TRANSFER,717.27,756.07,38.8,596.51,1313.78,0
6890,e529b2c9-f214-48fb-9972-6cb571851b3a,CASH_IN,24.71,106.3,81.59,1111.6,1136.31,0
5301,6ca7666f-4388-432c-b124-afa4bbce74b4,CASH_OUT,756.15,761.35,5.2,4029.04,4785.2,0
